Territory X Date,target
Nauru X 4/5/20,0
Nauru X 4/6/20,0
Nauru X 4/7/20,0
Nauru X 4/8/20,0
Nauru X 4/9/20,0
Nauru X 4/10/20,0
Nauru X 4/11/20,0
Nepal X 4/5/20,0
Nepal X 4/6/20,0
Nepal X 4/7/20,0
Nepal X 4/8/20,0
Nepal X 4/9/20,0
Nepal X 4/10/20,0
Nepal X 4/11/20,0
Netherlands (the) X 4/5/20,1770
Netherlands (the) X 4/6/20,1873
Netherlands (the) X 4/7/20,2107
Netherlands (the) X 4/8/20,2254
Netherlands (the) X 4/9/20,2402
Netherlands (the) X 4/10/20,2519
Netherlands (the) X 4/11/20,2652
New Caledonia X 4/5/20,0
New Caledonia X 4/6/20,0
New Caledonia X 4/7/20,0
New Caledonia X 4/8/20,0
New Caledonia X 4/9/20,0
New Caledonia X 4/10/20,0
New Caledonia X 4/11/20,0
New Zealand X 4/5/20,1
New Zealand X 4/6/20,1
New Zealand X 4/7/20,1
New Zealand X 4/8/20,1
New Zealand X 4/9/20,1
New Zealand X 4/10/20,2
New Zealand X 4/11/20,4
Nicaragua X 4/5/20,1
Nicaragua X 4/6/20,1
Nicaragua X 4/7/20,1
Nicaragua X 4/8/20,1
Nicaragua X 4/9/20,1
Nicaragua X 4/10/20,1
Nicaragua X 4/11/20,1
Niger (the) X 4/5/20,10
Niger (the) X 4/6/20,10
Niger (the) X 4/7/20,11
Niger (the) X 4/8/20,11
Niger (the) X 4/9/20,11
Niger (the) X 4/10/20,11
Niger (the) X 4/11/20,11
Nigeria X 4/5/20,5
Nigeria X 4/6/20,5
Nigeria X 4/7/20,6
Nigeria X 4/8/20,6
Nigeria X 4/9/20,7
Nigeria X 4/10/20,7
Nigeria X 4/11/20,10
North Macedonia X 4/5/20,18
North Macedonia X 4/6/20,23
North Macedonia X 4/7/20,26
North Macedonia X 4/8/20,29
North Macedonia X 4/9/20,30
North Macedonia X 4/10/20,32
North Macedonia X 4/11/20,34
Norway X 4/5/20,71
Norway X 4/6/20,76
Norway X 4/7/20,89
Norway X 4/8/20,101
Norway X 4/9/20,108
Norway X 4/10/20,113
Norway X 4/11/20,119
Oman X 4/5/20,2
Oman X 4/6/20,2
Oman X 4/7/20,2
Oman X 4/8/20,2
Oman X 4/9/20,3
Oman X 4/10/20,3
Oman X 4/11/20,3
Pakistan X 4/5/20,47
Pakistan X 4/6/20,53
Pakistan X 4/7/20,57
Pakistan X 4/8/20,61
Pakistan X 4/9/20,65
Pakistan X 4/10/20,66
Pakistan X 4/11/20,86
Palau X 4/5/20,0
Palau X 4/6/20,0
Palau X 4/7/20,0
Palau X 4/8/20,0
Palau X 4/9/20,0
Palau X 4/10/20,0
Palau X 4/11/20,0
Panama X 4/5/20,46
Panama X 4/6/20,54
Panama X 4/7/20,55
Panama X 4/8/20,59
Panama X 4/9/20,63
Panama X 4/10/20,66
Panama X 4/11/20,74
Papua New Guinea X 4/5/20,0
Papua New Guinea X 4/6/20,0
Papua New Guinea X 4/7/20,0
Papua New Guinea X 4/8/20,0
Papua New Guinea X 4/9/20,0
Papua New Guinea X 4/10/20,0
Papua New Guinea X 4/11/20,0
Paraguay X 4/5/20,3
Paraguay X 4/6/20,5
Paraguay X 4/7/20,5
Paraguay X 4/8/20,5
Paraguay X 4/9/20,5
Paraguay X 4/10/20,6
Paraguay X 4/11/20,6
Peru X 4/5/20,83
Peru X 4/6/20,92
Peru X 4/7/20,107
Peru X 4/8/20,121
Peru X 4/9/20,138
Peru X 4/10/20,169
Peru X 4/11/20,181
Philippines (the) X 4/5/20,152
Philippines (the) X 4/6/20,163
Philippines (the) X 4/7/20,177
Philippines (the) X 4/8/20,182
Philippines (the) X 4/9/20,203
Philippines (the) X 4/10/20,221
Philippines (the) X 4/11/20,247
Poland X 4/5/20,94
Poland X 4/6/20,107
Poland X 4/7/20,129
Poland X 4/8/20,159
Poland X 4/9/20,174
Poland X 4/10/20,181
Poland X 4/11/20,208
Portugal X 4/5/20,295
Portugal X 4/6/20,311
Portugal X 4/7/20,345
Portugal X 4/8/20,380
Portugal X 4/9/20,409
Portugal X 4/10/20,435
Portugal X 4/11/20,470
Qatar X 4/5/20,4
Qatar X 4/6/20,4
Qatar X 4/7/20,6
Qatar X 4/8/20,6
Qatar X 4/9/20,6
Qatar X 4/10/20,6
Qatar X 4/11/20,6
Republic of Korea (the) X 4/5/20,0
Republic of Korea (the) X 4/6/20,0
Republic of Korea (the) X 4/7/20,0
Republic of Korea (the) X 4/8/20,0
Republic of Korea (the) X 4/9/20,0
Republic of Korea (the) X 4/10/20,0
Republic of Korea (the) X 4/11/20,0
Republic of Moldova (the) X 4/5/20,15
Republic of Moldova (the) X 4/6/20,19
Republic of Moldova (the) X 4/7/20,22
Republic of Moldova (the) X 4/8/20,27
Republic of Moldova (the) X 4/9/20,29
Republic of Moldova (the) X 4/10/20,29
Republic of Moldova (the) X 4/11/20,30
Reunion X 4/5/20,0
Reunion X 4/6/20,0
Reunion X 4/7/20,0
Reunion X 4/8/20,0
Reunion X 4/9/20,0
Reunion X 4/10/20,0
Reunion X 4/11/20,0
Romania X 4/5/20,151
Romania X 4/6/20,176
Romania X 4/7/20,197
Romania X 4/8/20,220
Romania X 4/9/20,248
Romania X 4/10/20,270
Romania X 4/11/20,291
Russian Federation (the) X 4/5/20,45
Russian Federation (the) X 4/6/20,47
Russian Federation (the) X 4/7/20,58
Russian Federation (the) X 4/8/20,63
Russian Federation (the) X 4/9/20,76
Russian Federation (the) X 4/10/20,94
Russian Federation (the) X 4/11/20,106
Rwanda X 4/5/20,0
Rwanda X 4/6/20,0
Rwanda X 4/7/20,0
Rwanda X 4/8/20,0
Rwanda X 4/9/20,0
Rwanda X 4/10/20,0
Rwanda X 4/11/20,0
Saint Barthelemy X 4/5/20,0
Saint Barthelemy X 4/6/20,0
Saint Barthelemy X 4/7/20,0
Saint Barthelemy X 4/8/20,0
Saint Barthelemy X 4/9/20,0
Saint Barthelemy X 4/10/20,0
Saint Barthelemy X 4/11/20,0
Saint Kitts and Nevis X 4/5/20,0
Saint Kitts and Nevis X 4/6/20,0
Saint Kitts and Nevis X 4/7/20,0
Saint Kitts and Nevis X 4/8/20,0
Saint Kitts and Nevis X 4/9/20,0
Saint Kitts and Nevis X 4/10/20,0
Saint Kitts and Nevis X 4/11/20,0
Saint Lucia X 4/5/20,0
Saint Lucia X 4/6/20,0
Saint Lucia X 4/7/20,0
Saint Lucia X 4/8/20,0
Saint Lucia X 4/9/20,0
Saint Lucia X 4/10/20,0
Saint Lucia X 4/11/20,0
Saint Vincent and the Grenadines X 4/5/20,0
Saint Vincent and the Grenadines X 4/6/20,0
Saint Vincent and the Grenadines X 4/7/20,0
Saint Vincent and the Grenadines X 4/8/20,0
Saint Vincent and the Grenadines X 4/9/20,0
Saint Vincent and the Grenadines X 4/10/20,0
Saint Vincent and the Grenadines X 4/11/20,0
Samoa X 4/5/20,0
Samoa X 4/6/20,0
Samoa X 4/7/20,0
Samoa X 4/8/20,0
Samoa X 4/9/20,0
Samoa X 4/10/20,0
Samoa X 4/11/20,0
San Marino X 4/5/20,32
San Marino X 4/6/20,32
San Marino X 4/7/20,34
San Marino X 4/8/20,34
San Marino X 4/9/20,34
San Marino X 4/10/20,34
San Marino X 4/11/20,35
Sao Tome and Principe X 4/5/20,0
Sao Tome and Principe X 4/6/20,0
Sao Tome and Principe X 4/7/20,0
Sao Tome and Principe X 4/8/20,0
Sao Tome and Principe X 4/9/20,0
Sao Tome and Principe X 4/10/20,0
Sao Tome and Principe X 4/11/20,0
Saudi Arabia X 4/5/20,34
Saudi Arabia X 4/6/20,38
Saudi Arabia X 4/7/20,41
Saudi Arabia X 4/8/20,41
Saudi Arabia X 4/9/20,44
Saudi Arabia X 4/10/20,47
Saudi Arabia X 4/11/20,52
Senegal X 4/5/20,2
Senegal X 4/6/20,2
Senegal X 4/7/20,2
Senegal X 4/8/20,2
Senegal X 4/9/20,2
Senegal X 4/10/20,2
Senegal X 4/11/20,2
Serbia X 4/5/20,51
Serbia X 4/6/20,58
Serbia X 4/7/20,61
Serbia X 4/8/20,65
Serbia X 4/9/20,66
Serbia X 4/10/20,71
Serbia X 4/11/20,74
Seychelles X 4/5/20,0
Seychelles X 4/6/20,0
Seychelles X 4/7/20,0
Seychelles X 4/8/20,0
Seychelles X 4/9/20,0
Seychelles X 4/10/20,0
Seychelles X 4/11/20,0
Sierra Leone X 4/5/20,0
Sierra Leone X 4/6/20,0
Sierra Leone X 4/7/20,0
Sierra Leone X 4/8/20,0
Sierra Leone X 4/9/20,0
Sierra Leone X 4/10/20,0
Sierra Leone X 4/11/20,0
Singapore X 4/5/20,6
Singapore X 4/6/20,6
Singapore X 4/7/20,6
Singapore X 4/8/20,6
Singapore X 4/9/20,6
Singapore X 4/10/20,7
Singapore X 4/11/20,8
Slovakia X 4/5/20,1
Slovakia X 4/6/20,2
Slovakia X 4/7/20,2
Slovakia X 4/8/20,2
Slovakia X 4/9/20,2
Slovakia X 4/10/20,2
Slovakia X 4/11/20,2
Slovenia X 4/5/20,28
Slovenia X 4/6/20,30
Slovenia X 4/7/20,36
Slovenia X 4/8/20,40
Slovenia X 4/9/20,43
Slovenia X 4/10/20,45
Slovenia X 4/11/20,50
Solomon Islands X 4/5/20,0
Solomon Islands X 4/6/20,0
Solomon Islands X 4/7/20,0
Solomon Islands X 4/8/20,0
Solomon Islands X 4/9/20,0
Solomon Islands X 4/10/20,0
Solomon Islands X 4/11/20,0
Somalia X 4/5/20,0
Somalia X 4/6/20,0
Somalia X 4/7/20,0
Somalia X 4/8/20,1
Somalia X 4/9/20,1
Somalia X 4/10/20,1
Somalia X 4/11/20,1
South Africa X 4/5/20,11
South Africa X 4/6/20,12
South Africa X 4/7/20,13
South Africa X 4/8/20,18
South Africa X 4/9/20,18
South Africa X 4/10/20,24
South Africa X 4/11/20,25
South Sudan X 4/5/20,2
South Sudan X 4/6/20,2
South Sudan X 4/7/20,2
South Sudan X 4/8/20,2
South Sudan X 4/9/20,2
South Sudan X 4/10/20,2
South Sudan X 4/11/20,2
Spain X 4/5/20,12641
Spain X 4/6/20,13341
Spain X 4/7/20,14045
Spain X 4/8/20,14792
Spain X 4/9/20,15447
Spain X 4/10/20,16081
Spain X 4/11/20,16606
Sri Lanka X 4/5/20,5
Sri Lanka X 4/6/20,5
Sri Lanka X 4/7/20,6
Sri Lanka X 4/8/20,7
Sri Lanka X 4/9/20,7
Sri Lanka X 4/10/20,7
Sri Lanka X 4/11/20,7
St Martin X 4/5/20,2
St Martin X 4/6/20,2
St Martin X 4/7/20,2
St Martin X 4/8/20,2
St Martin X 4/9/20,2
St Martin X 4/10/20,2
St Martin X 4/11/20,2
Sudan (the) X 4/5/20,0
Sudan (the) X 4/6/20,0
Sudan (the) X 4/7/20,0
Sudan (the) X 4/8/20,0
Sudan (the) X 4/9/20,0
Sudan (the) X 4/10/20,0
Sudan (the) X 4/11/20,0
Suriname X 4/5/20,1
Suriname X 4/6/20,1
Suriname X 4/7/20,1
Suriname X 4/8/20,1
Suriname X 4/9/20,1
Suriname X 4/10/20,1
Suriname X 4/11/20,1
Sweden X 4/5/20,401
Sweden X 4/6/20,477
Sweden X 4/7/20,591
Sweden X 4/8/20,687
Sweden X 4/9/20,793
Sweden X 4/10/20,870
Sweden X 4/11/20,887
Switzerland X 4/5/20,715
Switzerland X 4/6/20,765
Switzerland X 4/7/20,821
Switzerland X 4/8/20,895
Switzerland X 4/9/20,948
Switzerland X 4/10/20,1002
Switzerland X 4/11/20,1036
Syrian Arab Republic (the) X 4/5/20,2
Syrian Arab Republic (the) X 4/6/20,2
Syrian Arab Republic (the) X 4/7/20,2
Syrian Arab Republic (the) X 4/8/20,2
Syrian Arab Republic (the) X 4/9/20,2
Syrian Arab Republic (the) X 4/10/20,2
Syrian Arab Republic (the) X 4/11/20,2
Taiwan X 4/5/20,5
Taiwan X 4/6/20,5
Taiwan X 4/7/20,5
Taiwan X 4/8/20,5
Taiwan X 4/9/20,5
Taiwan X 4/10/20,6
Taiwan X 4/11/20,6
Tajikistan X 4/5/20,0
Tajikistan X 4/6/20,0
Tajikistan X 4/7/20,0
Tajikistan X 4/8/20,0
Tajikistan X 4/9/20,0
Tajikistan X 4/10/20,0
Tajikistan X 4/11/20,0
Thailand X 4/5/20,23
Thailand X 4/6/20,26
Thailand X 4/7/20,27
Thailand X 4/8/20,30
Thailand X 4/9/20,32
Thailand X 4/10/20,33
Thailand X 4/11/20,35
Timor-Leste X 4/5/20,0
Timor-Leste X 4/6/20,0
Timor-Leste X 4/7/20,0
Timor-Leste X 4/8/20,0
Timor-Leste X 4/9/20,0
Timor-Leste X 4/10/20,0
Timor-Leste X 4/11/20,0
Togo X 4/5/20,3
Togo X 4/6/20,3
Togo X 4/7/20,3
Togo X 4/8/20,3
Togo X 4/9/20,3
Togo X 4/10/20,3
Togo X 4/11/20,3
Tonga X 4/5/20,0
Tonga X 4/6/20,0
Tonga X 4/7/20,0
Tonga X 4/8/20,0
Tonga X 4/9/20,0
Tonga X 4/10/20,0
Tonga X 4/11/20,0
Trinidad and Tobago X 4/5/20,7
Trinidad and Tobago X 4/6/20,8
Trinidad and Tobago X 4/7/20,8
Trinidad and Tobago X 4/8/20,8
Trinidad and Tobago X 4/9/20,8
Trinidad and Tobago X 4/10/20,8
Trinidad and Tobago X 4/11/20,8
Tunisia X 4/5/20,22
Tunisia X 4/6/20,22
Tunisia X 4/7/20,23
Tunisia X 4/8/20,24
Tunisia X 4/9/20,25
Tunisia X 4/10/20,25
Tunisia X 4/11/20,28
Turkey X 4/5/20,574
Turkey X 4/6/20,649
Turkey X 4/7/20,725
Turkey X 4/8/20,812
Turkey X 4/9/20,908
Turkey X 4/10/20,1006
Turkey X 4/11/20,1101
Turkmenistan X 4/5/20,0
Turkmenistan X 4/6/20,0
Turkmenistan X 4/7/20,0
Turkmenistan X 4/8/20,0
Turkmenistan X 4/9/20,0
Turkmenistan X 4/10/20,0
Turkmenistan X 4/11/20,0
Tuvalu X 4/5/20,0
Tuvalu X 4/6/20,0
Tuvalu X 4/7/20,0
Tuvalu X 4/8/20,0
Tuvalu X 4/9/20,0
Tuvalu X 4/10/20,0
Tuvalu X 4/11/20,0
Uganda X 4/5/20,0
Uganda X 4/6/20,0
Uganda X 4/7/20,0
Uganda X 4/8/20,0
Uganda X 4/9/20,0
Uganda X 4/10/20,0
Uganda X 4/11/20,0
Ukraine X 4/5/20,37
Ukraine X 4/6/20,38
Ukraine X 4/7/20,45
Ukraine X 4/8/20,52
Ukraine X 4/9/20,57
Ukraine X 4/10/20,69
Ukraine X 4/11/20,73
United Arab Emirates (the) X 4/5/20,10
United Arab Emirates (the) X 4/6/20,11
United Arab Emirates (the) X 4/7/20,12
United Arab Emirates (the) X 4/8/20,12
United Arab Emirates (the) X 4/9/20,14
United Arab Emirates (the) X 4/10/20,16
United Arab Emirates (the) X 4/11/20,20
United Kingdom of Great Britain and Northern Ireland (the) X 4/5/20,4942
United Kingdom of Great Britain and Northern Ireland (the) X 4/6/20,5382
United Kingdom of Great Britain and Northern Ireland (the) X 4/7/20,6168
United Kingdom of Great Britain and Northern Ireland (the) X 4/8/20,7107
United Kingdom of Great Britain and Northern Ireland (the) X 4/9/20,7988
United Kingdom of Great Britain and Northern Ireland (the) X 4/10/20,8969
United Kingdom of Great Britain and Northern Ireland (the) X 4/11/20,9887
United Republic of Tanzania (the) X 4/5/20,1
United Republic of Tanzania (the) X 4/6/20,1
United Republic of Tanzania (the) X 4/7/20,1
United Republic of Tanzania (the) X 4/8/20,1
United Republic of Tanzania (the) X 4/9/20,1
United Republic of Tanzania (the) X 4/10/20,3
United Republic of Tanzania (the) X 4/11/20,3
United States of America (the) X 4/5/20,9619
United States of America (the) X 4/6/20,10783
United States of America (the) X 4/7/20,12722
United States of America (the) X 4/8/20,14695
United States of America (the) X 4/9/20,16478
United States of America (the) X 4/10/20,18586
United States of America (the) X 4/11/20,20463
Uruguay X 4/5/20,5
Uruguay X 4/6/20,6
Uruguay X 4/7/20,7
Uruguay X 4/8/20,7
Uruguay X 4/9/20,7
Uruguay X 4/10/20,7
Uruguay X 4/11/20,7
Uzbekistan X 4/5/20,2
Uzbekistan X 4/6/20,2
Uzbekistan X 4/7/20,2
Uzbekistan X 4/8/20,3
Uzbekistan X 4/9/20,3
Uzbekistan X 4/10/20,3
Uzbekistan X 4/11/20,4
Vanuatu X 4/5/20,0
Vanuatu X 4/6/20,0
Vanuatu X 4/7/20,0
Vanuatu X 4/8/20,0
Vanuatu X 4/9/20,0
Vanuatu X 4/10/20,0
Vanuatu X 4/11/20,0
Venezuela (Bolivarian Republic of) X 4/5/20,7
Venezuela (Bolivarian Republic of) X 4/6/20,7
Venezuela (Bolivarian Republic of) X 4/7/20,7
Venezuela (Bolivarian Republic of) X 4/8/20,9
Venezuela (Bolivarian Republic of) X 4/9/20,9
Venezuela (Bolivarian Republic of) X 4/10/20,9
Venezuela (Bolivarian Republic of) X 4/11/20,9
Viet Nam X 4/5/20,0
Viet Nam X 4/6/20,0
Viet Nam X 4/7/20,0
Viet Nam X 4/8/20,0
Viet Nam X 4/9/20,0
Viet Nam X 4/10/20,0
Viet Nam X 4/11/20,0
Yemen X 4/5/20,0
Yemen X 4/6/20,0
Yemen X 4/7/20,0
Yemen X 4/8/20,0
Yemen X 4/9/20,0
Yemen X 4/10/20,0
Yemen X 4/11/20,0
Zambia X 4/5/20,1
Zambia X 4/6/20,1
Zambia X 4/7/20,1
Zambia X 4/8/20,1
Zambia X 4/9/20,1
Zambia X 4/10/20,2
Zambia X 4/11/20,2
Zimbabwe X 4/5/20,1
Zimbabwe X 4/6/20,1
Zimbabwe X 4/7/20,2
Zimbabwe X 4/8/20,3
Zimbabwe X 4/9/20,3
Zimbabwe X 4/10/20,3
Zimbabwe X 4/11/20,3
